question,condition,n,mean,std,min,max
Q1,NoExo,9,1.7777777777777777,0.4409585518440984,1.0,2.0
Q1,ExoNoVision,9,2.3333333333333335,0.5,2.0,3.0
Q1,ExoVision,9,3.4444444444444446,0.5270462766947298,3.0,4.0
Q2,NoExo,0,,,,
Q2,ExoNoVision,9,2.2222222222222223,0.4409585518440984,2.0,3.0
Q2,ExoVision,9,3.2222222222222223,0.4409585518440984,3.0,4.0
Q3,NoExo,0,,,,
Q3,ExoNoVision,9,2.0,0.5,1.0,3.0
Q3,ExoVision,9,3.0,0.5,2.0,4.0
Q4,NoExo,0,,,,
Q4,ExoNoVision,9,2.3333333333333335,0.8660254037844386,1.0,4.0
Q4,ExoVision,9,2.888888888888889,0.6009252125773316,2.0,4.0
Q5,NoExo,0,,,,
Q5,ExoNoVision,9,2.0,1.0,1.0,4.0
Q5,ExoVision,9,3.0,0.7071067811865476,2.0,4.0
Q6,NoExo,0,,,,
Q6,ExoNoVision,9,1.7777777777777777,0.6666666666666666,1.0,3.0
Q6,ExoVision,9,2.7777777777777777,0.6666666666666666,2.0,4.0
Q7,NoExo,0,,,,
Q7,ExoNoVision,9,2.0,0.8660254037844386,1.0,4.0
Q7,ExoVision,9,3.111111111111111,0.33333333333333337,3.0,4.0
Q8,NoExo,0,,,,
Q8,ExoNoVision,9,2.0,0.7071067811865476,1.0,3.0
Q8,ExoVision,9,3.111111111111111,0.6009252125773316,2.0,4.0
Q9,NoExo,0,,,,
Q9,ExoNoVision,9,2.111111111111111,0.6009252125773316,1.0,3.0
Q9,ExoVision,9,3.111111111111111,0.33333333333333337,3.0,4.0
Q10,NoExo,0,,,,
Q10,ExoNoVision,9,2.2222222222222223,0.8333333333333334,1.0,3.0
Q10,ExoVision,9,3.4444444444444446,0.5270462766947298,3.0,4.0
Q11,NoExo,0,,,,
Q11,ExoNoVision,9,2.5555555555555554,0.7264831572567788,2.0,4.0
Q11,ExoVision,9,3.4444444444444446,0.5270462766947298,3.0,4.0
Q12,NoExo,0,,,,
Q12,ExoNoVision,9,2.2222222222222223,0.4409585518440984,2.0,3.0
Q12,ExoVision,9,3.111111111111111,0.6009252125773316,2.0,4.0
Q13,NoExo,0,,,,
Q13,ExoNoVision,9,2.4444444444444446,0.7264831572567788,2.0,4.0
Q13,ExoVision,9,3.4444444444444446,0.5270462766947298,3.0,4.0
