time_s,joint_0_position,tau_box,tau_ass_total,tau_w,tau_meas_0
0.000000,0.026024842935931453,,,,
0.000805,0.026570324906206932,,,,
0.002033,,,,,-2.3642208576202393
0.002053,,0.0,,,
0.002055,,,,2.922206328203466,
0.002101,,,0.0,,
0.004968,0.027231055172655592,,,,
0.005135,,,,,-2.518845319747925
0.005151,,,,2.9705756495579734,
0.005161,,0.0,,,
0.005171,,,0.0,,
0.009695,0.027613351947136468,,,,
0.009915,,,,,-2.8321876525878906
0.009946,,0.0,,,
0.009948,,,,3.020165292240737,
0.009958,,,0.0,,
0.015169,0.02842248686532979,,,,
0.015384,,,,,-2.9436895847320557
0.015425,,,0.0,,
0.015431,,0.0,,,
0.015436,,,,3.0750172402692386,
0.020203,0.028906649551506194,,,,
0.020422,,0.0,,,
0.020426,,,,,-3.269575595855713
0.020431,,,,3.1313605936168756,
0.020456,,,0.0,,
0.025108,0.029395605927644744,,,,
0.025510,,,,,-3.402252197265625
0.025572,,,,3.1886777554392274,
0.025592,,0.0,,,
0.025612,,,0.0,,
0.029677,0.030001208759528764,,,,
0.029825,,,,,-3.4794538021087646
0.029911,,,0.0,,
0.029926,,0.0,,,
0.029941,,,,3.247441401834472,
0.034814,0.030241692205962917,,,,
0.034986,,,0.0,,
0.035005,,0.0,,,
0.035022,,,,,-3.7481307983398438
0.035039,,,,3.304040408260526,
0.040379,0.030615600023010045,,,,
0.040551,,,,,-3.834437847137451
0.040568,,,,3.3593496774992824,
0.040634,,,0.0,,
0.040653,,0.0,,,
0.044985,0.03073384437540956,,,,
0.045183,,,,,-4.015529155731201
0.045186,,,,3.4110662102339666,
0.045204,,,0.0,,
0.045207,,0.0,,,
0.049553,0.030862275318978633,,,,
0.049786,,,,,-4.048507213592529
0.049791,,,,3.4590548659515212,
0.049816,,,0.0,,
0.049819,,0.0,,,
0.055141,0.03088804140252515,,,,
0.055521,,,,,-4.148155212402344
0.055554,,0.0,,,
0.055556,,,,3.5028774293680836,
0.055567,,,0.0,,
0.060329,0.03088884035085217,,,,
0.060693,,,,,-4.208403587341309
0.060738,,,,3.5418948259365655,
0.060755,,0.0,,,
0.060766,,,0.0,,
0.065094,0.03082452501052676,,,,
0.065313,,,,,-4.241419792175293
0.065344,,,,3.576631793799982,
0.065360,,0.0,,,
0.065370,,,0.0,,
0.069944,0.03078018337837694,,,,
0.070239,,,,,-4.177664279937744
0.070278,,,,3.6068895574862543,
0.070295,,0.0,,,
0.070305,,,0.0,,
0.074913,0.03061480107468302,,,,
0.075173,,,,,-4.017615795135498
0.075203,,,,3.632593912100854,
0.075223,,,0.0,,
0.075226,,0.0,,,
0.079573,0.030447820874335053,,,,
0.079690,,,,,-3.741157054901123
0.079705,,,,3.6536843779039696,
0.079728,,,0.0,,
0.079730,,0.0,,,
0.086146,0.03005194197829477,,,,
0.086329,,0.0,,,
0.086334,,,,,-3.610586643218994
0.086338,,,,3.6688969249916807,
0.086355,,,0.0,,
0.089899,0.029640883064041043,,,,
0.090080,,,,,-3.3814101219177246
0.090086,,,,3.6782467631302307,
0.090103,,,0.0,,
0.090108,,0.0,,,
0.094610,0.029236215736403504,,,,
0.094770,,,,,-3.093528985977173
0.094774,,,,3.6822306430147327,
0.094790,,,0.0,,
0.094794,,0.0,,,
0.099908,0.02831622673783563,,,,
0.100159,,,0.0,,
0.100163,,0.0,,,
0.100166,,,,,-2.9992120265960693
0.100171,,,,3.676414372482308,
0.105075,0.027688253352794946,,,,
0.105505,,,0.0,,
0.105520,,0.0,,,
0.105535,,,,,-2.731090784072876
0.105551,,,,3.663560161330168,
0.109846,0.02692585691173251,,,,
0.109862,,,,,-2.575836658477783
0.109961,,,0.0,,
0.109977,,0.0,,,
0.109992,,,,3.6428682571121573,
0.115400,0.02597730551047354,,,,
0.115552,,,0.0,,
0.115568,,0.0,,,
0.115583,,,,,-2.4558520317077637
0.115599,,,,3.61304744358037,
0.119847,0.025211313801939497,,,,
0.120001,,,0.0,,
0.120016,,0.0,,,
0.120031,,,,,-2.1916964054107666
0.120047,,,,3.576907473347374,
0.125306,0.024565164342459023,,,,
0.125465,,,0.0,,
0.125482,,0.0,,,
0.125497,,,,,-1.9278104305267334
0.125514,,,,3.534388879594255,
0.129827,0.023808160802604,,,,
0.129978,,,0.0,,
0.129994,,0.0,,,
0.130009,,,,,-1.6476768255233765
0.130025,,,,3.4859943608540727,
0.135277,0.02308691020038329,,,,
0.135421,,,0.0,,
0.135436,,0.0,,,
0.135451,,,,,-1.4056603908538818
